X,Y,zettaicode,suikeicode,prefcode,suiikicode,chitencode,chitenflag,nendo,locationname,rlscode,kijunflag1,kijunflag2,water,latitude,longitude,kijunflag3
144.5516667,43.79638889,"0110690","","01","040","01",1,2021,"９線橋（ペ－メン川合流前）",1,"1","0","斜里川中流",43.79638889,144.5516667,""
144.5975,43.82416667,"0110700","","01","041","01",1,2021,"エトンビ橋",1,"1","0","斜里川下流（１）",43.82416667,144.5975,""
144.6530556,43.90972222,"0110710","","01","042","01",1,2021,"斜里捕獲場",1,"1","0","斜里川下流（２）",43.90972222,144.6530556,""
144.65,43.87027778,"0110730","","01","042","52",2,2021,"川上橋",1,"2","0","斜里川下流（２）",43.87027778,144.65,""
144.81638889,43.5075,"0110740","","01","043","01",1,2021,"西竹橋（ケネカ川合流前）",1,"1","0","標津川上流",43.5075,144.81638889,""
144.88472222,43.52138889,"0110750","","01","044","01",1,2021,"南共栄橋（俣落川合流前）",1,"1","0","標津川中流",43.52138889,144.88472222,""
144.98972222,43.60722222,"0110760","","01","045","01",1,2021,"武佐川橋",1,"1","3","標津川下流（１）",43.60722222,144.98972222,""
145.11305556,43.66138889,"0110770","","01","046","01",1,2021,"標津捕獲場（サーモン橋）",1,"1","3","標津川下流（２）",43.66138889,145.11305556,""
144.57916667,43.34861111,"0110780","","01","047","01",1,2021,"瀬文平橋（多和川合流前）",1,"1","3","釧路川上流",43.34861111,144.57916667,""
144.4272222,43.51555556,"0117280","","01","047","52",2,2021,"摩周大橋",1,"2","3","釧路川上流",43.51555556,144.4272222,""
144.53333333,43.38416666,"0117270","","01","047","51",2,2021,"釧路川橋",1,"2","0","釧路川上流",43.38416666,144.53333333,""
144.41111111,43.0725,"0110790","","01","048","01",1,2021,"釧路市上水愛国浄水場取水口",1,"1","3","釧路川中流",43.0725,144.41111111,""
144.60222222,43.30027778,"0110800","","01","048","51",2,2021,"開運橋",1,"2","3","釧路川中流",43.30027778,144.60222222,""
144.31972223,43.23805555,"0110810","","01","049","01",1,2021,"茂雪裡橋",1,"1","0","釧路川下流（１）",43.23805555,144.31972223,""
144.26305556,43.27527778,"0117310","","01","049","51",2,2021,"清和橋",1,"2","0","釧路川下流（１）",43.27527778,144.26305556,""
144.35972222,42.99972222,"0110820","","01","050","01",1,2021,"新川橋",1,"1","3","釧路川下流（２）",42.99972222,144.35972222,""
144.3711111,43.01472222,"0113810","","01","050","51",2,2021,"鶴見橋",1,"2","3","釧路川下流（２）",43.01472222,144.3711111,""
144.41833334,43.00361111,"0110850","","01","051","51",2,2021,"雪裡橋",1,"2","0","釧路川下流（３）",43.00361111,144.41833334,""
144.38583333,42.98083334,"0110840","","01","051","01",1,2021,"幣舞橋",1,"1","0","釧路川下流（３）",42.98083334,144.38583333,""
144.0961111,43.28944444,"0110870","","01","052","01",1,2021,"阿寒川橋（飽別川合流前）",1,"1","0","阿寒川上流",43.28944444,144.0961111,""
144.1386111,43.11972222,"0110880","","01","053","01",1,2021,"丹頂橋（舌辛川合流前）",1,"1","0","阿寒川中流",43.11972222,144.1386111,""
144.2677778,43.01083333,"0110890","","01","054","01",1,2021,"大楽毛橋",1,"1","0","阿寒川下流",43.01083333,144.2677778,""
143.6602778,42.83166667,"0110900","","01","055","01",1,2021,"浦幌町上水浦幌浄水場取水口",1,"1","0","浦幌川上流",42.83166667,143.6602778,""
143.6030556,42.89666667,"0110910","","01","056","01",1,2021,"浦幌町吉野簡水取水口",1,"1","3","浦幌川下流（１）",42.89666667,143.6030556,""
143.60027778,42.78194445,"0114790","","01","057","53",2,2021,"下頃辺橋",1,"2","0","浦幌川下流（２）",42.78194445,143.60027778,""
143.6186111,42.74166667,"0118740","","01","057","52",2,2021,"養老新川橋（吉野）",1,"2","3","浦幌川下流（２）",42.74166667,143.6186111,""
143.62638889,42.74805555,"0113820","","01","057","51",2,2021,"愛牛橋（愛牛）",1,"2","0","浦幌川下流（２）",42.74805555,143.62638889,""
143.675,42.72694445,"0110920","","01","057","01",1,2021,"河口（浦幌十勝川）",1,"1","3","浦幌川下流（２）",42.72694445,143.675,""
142.5352778,42.89194444,"0110930","","01","058","01",1,2021,"千呂露橋（千栄）",1,"1","0","沙流川上流",42.89194444,142.5352778,""
142.2147222,42.69138889,"0110940","","01","059","01",1,2021,"長知内橋",1,"1","3","沙流川中流",42.69138889,142.2147222,""
142.0319444,42.51722222,"0110950","","01","060","01",1,2021,"沙流川橋（富川）",1,"1","3","沙流川下流",42.51722222,142.0319444,""
142.1408333,42.595,"0110960","","01","060","51",2,2021,"平取（平取水位観測所）",1,"2","0","沙流川下流",42.595,142.1408333,""
142.39083333,42.97861111,"0110970","","01","061","01",1,2021,"双珠別川合流前（青巌橋）",1,"1","0","鵡川上流",42.97861111,142.39083333,""
141.92333334,42.56083333,"0118770","","01","062","52",2,2021,"鵡川河口",1,"2","","鵡川下流",42.56083333,141.92333334,""
141.93638889,42.57472223,"0110980","","01","062","01",1,2021,"鵡川橋",1,"1","3","鵡川下流",42.57472223,141.93638889,""
142.1358333,42.76138889,"0113610","","01","062","51",2,2021,"穂別橋",1,"2","0","鵡川下流",42.76138889,142.1358333,""
141.59138889,42.67916667,"0110990","","01","063","01",1,2021,"苫小牧市上水幌内浄水場取水口",1,"1","0","苫小牧幌内川上流",42.67916667,141.59138889,""
141.63361111,42.64277777,"0111000","","01","064","01",1,2021,"港橋",1,"1","0","苫小牧幌内川下流",42.64277777,141.63361111,""
141.2425,42.63722222,"0111010","","01","065","01",1,2021,"森野橋",1,"1","0","白老川上流",42.63722222,141.2425,""
141.34138889,42.54416666,"0111020","","01","066","01",1,2021,"白老橋",1,"1","0","白老川下流",42.54416666,141.34138889,""
141.26583333,42.62194445,"0113890","","01","066","51",2,2021,"御料地橋",1,"2","0","白老川下流",42.62194445,141.26583333,""
141.0891667,42.67694444,"0111030","","01","067","01",1,2021,"落合橋（三階滝川合流前）",1,"1","0","長流川上流",42.67694444,141.0891667,""
140.9952778,42.57305556,"0111050","","01","068","51",2,2021,"弁景橋",1,"2","0","長流川中流",42.57305556,140.9952778,""
140.9958333,42.5775,"0111040","","01","068","01",1,2021,"弁景川合流前",1,"1","0","長流川中流",42.5775,140.9958333,""
140.9658333,42.57638889,"0111070","","01","069","51",2,2021,"洞爺発電所取水口",1,"2","0","長流川下流",42.57638889,140.9658333,""
140.8430556,42.48472222,"0111060","","01","069","01",1,2021,"長流橋",1,"1","0","長流川下流",42.48472222,140.8430556,""
140.87944445,42.69305555,"0111080","","01","070","01",1,2021,"富岡橋（ハザワ川合流前）",1,"1","0","貫気別川上流",42.69305555,140.87944445,""
140.87944445,42.69305555,"0111080","","01","070","01",1,2021,"富岡橋（ハザワ川合流前）",1,"1","0","貫気別川上流",42.69305555,140.87944445,""
140.7241667,42.6325,"0111090","","01","071","01",1,2021,"寿橋",1,"1","0","貫気別川中流",42.6325,140.7241667,""
140.7030556,42.59916667,"0111120","","01","072","01",1,2021,"岩見橋",1,"1","0","貫気別川下流",42.59916667,140.7030556,""
140.86222222,41.85583333,"0111130","","01","073","01",1,2021,"三森橋（寅沢川合流前）",1,"1","3","松倉川上流",41.85583333,140.86222222,""
140.85972222,41.85638889,"0111140","","01","073","51",2,2021,"松倉川合流前",1,"2","3","松倉川上流",41.85638889,140.85972222,""
140.84638889,41.82166667,"0111160","","01","074","01",1,2021,"下鱒川合流前",1,"1","3","松倉川中流",41.82166667,140.84638889,""
140.80916667,41.78472222,"0111200","","01","075","53",2,2021,"松聖橋",1,"2","3","松倉川下流",41.78472222,140.80916667,""
140.78861111,41.775,"0111170","","01","075","01",1,2021,"河口（松倉川）",1,"1","3","松倉川下流",41.775,140.78861111,""
140.79333333,41.77666667,"0111190","","01","075","52",2,2021,"松倉橋",1,"2","3","松倉川下流",41.77666667,140.79333333,""
140.105,42.41083333,"0111250","","01","076","01",1,2021,"住吉（住吉水位観測所）",1,"1","3","後志利別川上流",42.41083333,140.105,""
140.00916667,42.4225,"0111260","","01","077","01",1,2021,"今金橋（今金）",1,"1","3","後志利別川中流",42.4225,140.00916667,""
139.89416666,42.43555555,"0111270","","01","078","01",1,2021,"北檜山町北檜山簡水取水口",1,"1","0","後志利別川下流（１）",42.43555555,139.89416666,""
139.85972222,42.41472222,"0111280","","01","079","01",1,2021,"兜野橋（利別河口）",1,"1","3","後志利別川下流（２）",42.41472222,139.85972222,""
140.93388889,42.79027777,"0111290","","01","080","01",1,2021,"相川橋（喜茂別）",1,"1","0","尻別川上流",42.79027777,140.93388889,""
140.87611111,42.86055556,"0111300","","01","081","01",1,2021,"目名橋",1,"1","0","尻別川中流",42.86055556,140.87611111,""
140.44833333,42.81361111,"0111310","","01","082","01",1,2021,"名駒捕獲場",1,"1","0","尻別川下流（１）",42.81361111,140.44833333,""
140.46638889,42.81138889,"0111320","","01","083","01",1,2021,"名駒（名駒水位観測所）",1,"1","3","尻別川下流（２）",42.81138889,140.46638889,""
140.3863889,42.86222222,"0114210","","01","083","52",2,2021,"初田橋",1,"2","3","尻別川下流（２）",42.86222222,140.3863889,""
140.69388889,42.79388889,"0111340","","01","084","01",1,2021,"真狩橋",1,"1","0","尻別川下流（３）",42.79388889,140.69388889,""
142.2269444,44.87111111,"0111350","","01","085","01",1,2021,"開明橋",1,"1","0","頓別川上流",44.87111111,142.2269444,""
142.2711111,44.96111111,"0111370","","01","086","01",1,2021,"上駒橋",1,"1","0","頓別川中流",44.96111111,142.2711111,""
142.3330556,44.985,"0111380","","01","087","01",1,2021,"中頓別町本町簡水取水口",1,"1","0","頓別川下流（１）",44.985,142.3330556,""
142.34,45.02777778,"0111400","","01","088","01",1,2021,"旧浜頓別町下頓別簡水取水口",1,"1","0","頓別川下流（２）",45.02777778,142.34,""
142.43305556,45.0625,"0111410","","01","089","01",1,2021,"旧豊寒別浄水場右の沢取水口",1,"1","0","頓別川下流（３）",45.0625,142.43305556,""
142.385,45.12666667,"0111420","","01","090","01",1,2021,"浜頓別橋",1,"1","0","頓別川下流（４）",45.12666667,142.385,""
142.4658333,44.89055556,"0111440","","01","092","01",1,2021,"歌登町市街簡水取水口",1,"1","0","北見幌別川（１）",44.89055556,142.4658333,""
142.4658333,44.89055556,"0111440","","01","092","01",1,2021,"歌登町市街簡水取水口",1,"1","0","北見幌別川（１）",44.89055556,142.4658333,""
142.5888889,44.85555556,"0111450","","01","093","01",1,2021,"岡島専水取水口",1,"1","0","北見幌別川（２）",44.85555556,142.5888889,""
142.5888889,44.85555556,"0111450","","01","093","01",1,2021,"岡島専水取水口",1,"1","0","北見幌別川（２）",44.85555556,142.5888889,""
142.5705556,44.87861111,"0111460","","01","094","01",1,2021,"下幌別橋",1,"1","0","北見幌別川（３）",44.87861111,142.5705556,""
142.5705556,44.87861111,"0111460","","01","094","01",1,2021,"下幌別橋",1,"1","0","北見幌別川（３）",44.87861111,142.5705556,""
142.5977778,44.70194444,"0111480","","01","095","01",1,2021,"日の出橋",1,"1","0","徳志別川上流",44.70194444,142.5977778,""
142.5797222,44.78555556,"0111490","","01","096","01",1,2021,"歌登町志美宇丹簡水取水口",1,"1","0","徳志別川下流（１）",44.78555556,142.5797222,""
142.6522222,44.83833333,"0111500","","01","097","01",1,2021,"徳志別捕獲場",1,"1","0","徳志別川下流（２）",44.83833333,142.6522222,""
144.9825,43.37194445,"0111510","","01","098","01",1,2021,"長栄橋",1,"1","0","西別川上流",43.37194445,144.9825,""
145.28472222,43.37972223,"0111520","","01","099","01",1,2021,"別海橋",1,"1","3","西別川下流",43.37972223,145.28472222,""
143.1872222,42.52666667,"0111540","","01","101","01",1,2021,"尾田橋",1,"1","0","歴舟川上流",42.52666667,143.1872222,""
143.3619444,42.4625,"0111550","","01","102","01",1,2021,"歴舟大橋",1,"1","3","歴舟川下流",42.4625,143.3619444,""
143.3166667,42.28055556,"0111600","","01","106","01",1,2021,"広尾橋",1,"1","0","広尾川",42.28055556,143.3166667,""
143.3166667,42.28055556,"0111600","","01","106","01",1,2021,"広尾橋",1,"1","0","広尾川",42.28055556,143.3166667,""
141.55916667,42.67416667,"0111610","","01","107","01",1,2021,"王子専水取水口",1,"1","0","苫小牧川上流",42.67416667,141.55916667,""
141.5625,42.66527778,"0111620","","01","108","01",1,2021,"ワッカナイ橋",1,"1","0","苫小牧川下流",42.66527778,141.5625,""
141.55666667,42.63833333,"0113540","","01","108","51",2,2021,"松風町２番地の無名橋",1,"2","0","苫小牧川下流",42.63833333,141.55666667,""
141.56944445,42.6225,"0112710","","01","108","02",1,2021,"寿橋",1,"1","0","苫小牧川下流",42.6225,141.56944445,""
140.1416667,42.29333333,"0111640","","01","110","01",1,2021,"セイヨウベツ橋（上八雲）",1,"1","0","遊楽部川上流",42.29333333,140.1416667,""
140.2336111,42.19888889,"0111650","","01","111","01",1,2021,"八雲町上水大新浄水場取水口",1,"1","0","遊楽部川中流（１）",42.19888889,140.2336111,""
140.2105556,42.26583333,"0111660","","01","112","01",1,2021,"建岩橋",1,"1","0","遊楽部川中流（２）",42.26583333,140.2105556,""
140.2563889,42.25861111,"0111670","","01","113","01",1,2021,"遊楽部捕獲場",1,"1","0","遊楽部川下流",42.25861111,140.2563889,""
140.845,43.04972222,"0111680","","01","114","01",1,2021,"金橋",1,"1","0","余市川上流",43.04972222,140.845,""
140.845,43.04972222,"0111680","","01","114","01",1,2021,"金橋",1,"1","0","余市川上流",43.04972222,140.845,""
140.7694444,43.16583333,"0111710","","01","117","01",1,2021,"余市町上水余市川浄水場取水口",1,"1","0","余市川中流",43.16583333,140.7694444,""
140.7891667,43.19333333,"0111730","","01","119","01",1,2021,"大川橋",1,"1","0","余市川下流",43.19333333,140.7891667,""
141.28027778,43.06638889,"0111740","","01","120","01",1,2021,"札幌市上水西野浄水場取水口",1,"1","3","新川上流",43.06638889,141.28027778,""
141.29861111,43.09694444,"0111780","","01","121","53",2,2021,"八軒橋",1,"2","3","新川下流",43.09694444,141.29861111,""
141.2375,43.15222222,"0111750","","01","121","01",1,2021,"第一新川橋",1,"1","3","新川下流",43.15222222,141.2375,""
141.28611111,43.11694445,"0113790","","01","121","52",2,2021,"稲積橋",1,"2","3","新川下流",43.11694445,141.28611111,""
141.32,43.0925,"0112780","","01","121","54",2,2021,"新川橋",1,"2","3","新川下流",43.0925,141.32,""
142.34805555,43.76472222,"0114770","","01","122","57",2,2021,"忠別橋",1,"2","0","石狩川上流（４）",43.76472222,142.34805555,""
142.1344444,43.7175,"0111790","","01","122","01",1,2021,"納内橋",1,"1","3","石狩川上流（４）",43.7175,142.1344444,""
142.3663889,43.77666667,"0111830","","01","122","54",2,2021,"緑橋",1,"2","3","石狩川上流（４）",43.77666667,142.3663889,""
142.27638889,43.76555556,"0111810","","01","122","55",2,2021,"伊納大橋",1,"2","3","石狩川上流（４）",43.76555556,142.27638889,""
142.33444444,43.77138889,"0111820","","01","122","53",2,2021,"旭川大橋",1,"2","3","石狩川上流（４）",43.77138889,142.33444444,""
142.7825,43.84194444,"0111840","","01","123","01",1,2021,"留辺志部橋",1,"1","0","留辺志部川",43.84194444,142.7825,""
142.7055556,43.84166667,"0111850","","01","124","01",1,2021,"安足間橋",1,"1","0","安足間川",43.84166667,142.7055556,""
142.5375,43.89972222,"0111860","","01","125","01",1,2021,"金富橋",1,"1","0","愛別川",43.89972222,142.5375,""
142.4261111,43.77861111,"0111870","","01","126","01",1,2021,"功橋",1,"1","3","牛朱別川",43.77861111,142.4261111,""
142.3383333,43.86083333,"0111880","","01","127","01",1,2021,"治水橋",1,"1","3","オサラッペ川",43.86083333,142.3383333,""
142.27888889,43.81,"0111890","","01","128","01",1,2021,"永見橋",1,"1","3","江丹別川",43.81,142.27888889,""
142.0147222,43.80916667,"0111900","","01","129","01",1,2021,"竜水橋",1,"1","3","雨竜川上流",43.80916667,142.0147222,""
141.9147222,43.68361111,"0111910","","01","130","01",1,2021,"茜橋",1,"1","3","雨竜川下流",43.68361111,141.9147222,""
141.895,43.60972222,"0111920","","01","131","01",1,2021,"尾白利加橋",1,"1","0","尾白利加川",43.60972222,141.895,""
141.8880556,43.55027778,"0111930","","01","132","01",1,2021,"新十津川橋（旧徳富橋）",1,"1","0","徳富川",43.55027778,141.8880556,""
142.41416667,43.20583333,"0111940","","01","133","01",1,2021,"下金山橋（町道）",1,"1","3","空知川上流",43.20583333,142.41416667,""
